"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"MANUFACTURER_PART_NUMBER";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SPICEPREFIX";"VALUE";"VENDOR";
"L1";"10uH";"INDUCTOR1007";"1007";"Inductors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LEFT_FRONT_EMITTER";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"NMOS1";"DMN3150LW";"DMN3150LW";"DMN3150LW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"NMOS2";"DMN3150LW";"DMN3150LW";"DMN3150LW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"NMOS3";"DMN3150LW";"DMN3150LW";"DMN3150LW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"NMOS4";"DMN3150LW";"DMN3150LW";"DMN3150LW";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"4.6k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R5";"4.6k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"REC_LF";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_B1";"47k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_B2";"47k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_ED1";"5.6";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_ED2";"5.6";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_ED_PD";"47k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_EH1";"5.6";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_EH2";"5.6";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_EH_PD";"47k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_ELF";"10";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_ELF_PD";"47k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_ERF";"30 ";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_ERF_PD";"47k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_PWR1";"100 Ohm";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_PWR3";"100 Ohm";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_PWR4";"100 Ohm";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_RLD";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_RLF";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_RLH";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_RRD";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_RRF";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_RRH";"1.8k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_VM1";"70k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_VM2";"40k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_VM3";"500m";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_VM4";"500m";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R_VM5";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S2";"";"SWITCH-SPSTPTH";"SWITCH-SPDT";"SPST Switch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T1";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T2";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T3";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T4";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T5";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"T6";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP7";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP8";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP9";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP10";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP11";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP12";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP13";"";"TESTPOINTROUND2MM";"TESTPOINT_ROUND_2MM";"Test Point";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"TPS73633(SOT-23)";"TPS73633(SOT-23)";"TPS73633(SOT-23)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"TPS76850(SOIC-8)";"TPS76850(SOIC-8)";"TPS76850(SOIC-8)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"6P_HEADER";"6P_HEADER";"6P_HEADER";"Generic 6P header";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"6P_HEADER";"6P_HEADER";"6P_HEADER";"Generic 6P header";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$8";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$11";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$13";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$14";"SPARKFUN-SPDT";"SPARKFUN-SPDT";"SPDT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$15";"SPARKFUN-SPDT";"SPARKFUN-SPDT";"SPDT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$16";"SPLITTER";"SPLITTER";"SPLITTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$17";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$18";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$19";"EMITTER";"EMITTER";"EMITTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$20";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$21";"RECEIVER";"RECEIVER";"RECEIVER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$22";"SPLITTER";"SPLITTER";"SPLITTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$23";"BD60HC5WEFJ";"BD60HC5WEFJ";"SOIC127P600X100-9N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"DRV8848PWPR";"DRV8848PWPR";"SOP65P640X120-17N";"None";"Unavailable";" 2A Dual H-Bridge Motor Driver _PWM Control_ 16-HTSSOP -40 to 85 ";"";"";"";"Texas Instruments";"DRV8848PWPR";"HTSSOP-16 Texas Instruments";"None";"";"";"";"";"";
"U6";"MPU-6000";"MPU-6000";"QFN-24-EP";"Invensense MPU-6000 6-Axis Gryoscope/Accelerometer";"";"";"";"";"";"";"";"";"";"IC-11089";"SEN-11234 ";"";"";"";
"X1";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+_PIN";"2x20 header connector, all pins connected";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
